Rank,Album Name,Rating (#votes),Popularity
1889,Einhander  ,4.32 (53),0.3520
1890,Super Mario Rpg  Sound Version,4.27 (46),0.3550
1891,Xenosaga Episode I,4.28 (43),0.3579
1892,Gallian Chronicles  ,4.23 (44),0.3592
1893,Final Fantasy Xiii-2  ,4.24 (54),0.3599
1894,Breath Of Fire   Special Box,4.59 (45),0.3599
1895,Final Fantasy Vi Grand Finale,3.94 (53),0.3599
1896,Shenmue Chapter 1 -yokosuka-  Sound Track,4.30 (44),0.3629
1897,Eternal Arcadia  Sound Track,4.40 (46),0.3652
1898,Final Fantasy Iv Celtic Moon,4.30 (45),0.3660
1899,Super Mario World,4.60 (49),0.3681
1900,The Black Mages,4.11 (58),0.3696
1901,Symphonic Suite Final Fantasy,4.41 (45),0.3707
1902,Gensosuikoden  Game ,4.53 (48),0.3723
1903,Super Mario 64  ,4.36 (56),0.3727
1904,Akumajo Dracula Best Music Collections Box,4.70 (58),0.3732
1905,Final Fantasy Vocal Collections I -pray-,4.53 (38),0.3791
1906,Seiken Densetsu 3  Sound Version,4.42 (46),0.3814
1907,Perfect Selection Dracula Battle Ii,4.44 (47),0.3823
1908,Symphonic Fantasies - Music From Square Enix,4.51 (46),0.3873
1909,Akumajo Dracula Famicom Best,4.55 (47),0.3893
1910,Lost Odyssey  ,4.15 (48),0.3930
1912,Myth: The Xenogears Orchestral Album,4.10 (54),0.3995
1914,Unlimited Saga,4.38 (48),0.4019
1915,Metal Gear Solid  Game ,4.22 (56),0.4036
1916,The Legend Of Zelda: Ocarina Of Time,4.33 (58),0.4139
1917,Kingdom Hearts   Complete,4.61 (52),0.4193
1919,Kirite,4.62 (46),0.4204
1920,Fithos Lusec Wecos Vinosec: Final Fantasy Viii [],4.43 (56),0.4289
1921,Grandia  S,4.57 (44),0.4317
1922,Final Fantasy Iv  Sound Version,4.23 (66),0.4349
1923,Parasite Eve  ,4.44 (57),0.4367
1924,Final Fantasy Xiii  ,4.43 (63),0.4394
1925,Saga Frontier Ii  ,4.38 (52),0.4413
1926,Vagrantstory  ,4.64 (55),0.4440
1927,Bravely Default Flying Fairy  ,4.46 (70),0.4628
1928,Drammatica -the Very Best Of Yoko Shimomura-,4.57 (63),0.4661
1929,Perfect Selection Dracula Battle,4.57 (64),0.4662
1930,Super Mario Galaxy  Sound Track Platinum Version,4.40 (77),0.4868
1931,Okami  ,4.44 (77),0.4882
1932,Soukaigi  ,4.58 (54),0.4883
1933,Seiken Densetsu / Legend Of Mana  ,4.36 (59),0.4923
1934,Piano Collections Final Fantasy X,4.36 (60),0.4930
1935,Xenoblade  ,4.18 (92),0.4965
1936,Final Fantasy V  Sound Version,4.22 (67),0.5049
1937,Silent Hill 2  S,4.54 (83),0.5304
1938,Creid,4.65 (75),0.5528
1939,Final Fantasy Tactics  Sound Track,4.57 (80),0.5684
1940,Final Fantasy Xii   [],4.41 (93),0.5719
1941,Seiken Densetsu 2  Sound Version,4.57 (83),0.5800
1942,Final Fantasy Ix  ,4.50 (104),0.6719
1943,Wander And The Colossus  : Roar Of The Earth,4.53 (103),0.6760
1944,Xenogears  ,4.54 (99),0.6782
1945,Nier Gestalt & Replicant  ,4.56 (126),0.6784
1946,Final Fantasy X  ,4.31 (114),0.6940
1947,Akumajo Dracula X ~gekka No Nocturne~  Game ,4.65 (112),0.6974
1948,Final Fantasy Viii  ,4.46 (120),0.7102
1949,Chrono Trigger  Sound Version,4.54 (117),0.7801
1950,Final Fantasy Vii  Sound Track [],4.27 (126),0.7838
1951,Final Fantasy Vi  Sound Version,4.65 (117),0.8424
1952,Chrono Cross  ,4.73 (155),1.0000
